,scenario_type,below_average_count_0,mean_score_0,below_average_count_1,mean_score_1,below_average_count_2,mean_score_2,below_average_count_3,mean_score_3,below_average_count_4,mean_score_4,total_below_average_count,total_mean_score
37,starting_unprotected_noncross_turn,32.0,0.9235241407169932,36.0,0.7925856717830446,30.0,0.8974695403745561,33.0,0.6138468492887932,1.0,0.98,132.0,0.8414852404326775
52,traversing_traffic_light_intersection,10.0,0.9560512119750751,28.0,0.7932569842288802,8.0,0.9403374653826146,26.0,0.6002694817864999,3.0,0.94,75.0,0.845983028674614
30,on_traffic_light_intersection,22.0,0.9318397027476288,23.0,0.8125848851034084,23.0,0.906186486143942,25.0,0.6458653620616094,3.0,0.94,96.0,0.8472952872113175
51,traversing_pickup_dropoff,32.0,0.9137073339381326,22.0,0.8196413087930788,31.0,0.8757173008527509,19.0,0.6744596422491815,2.0,0.96,106.0,0.8487051171666288
32,starting_protected_noncross_turn,25.0,0.9308399165802914,29.0,0.7920571250212087,20.0,0.9144820728101672,29.0,0.6145002198723573,0.0,1.0,103.0,0.850375866856805
5,changing_lane_to_right,7.0,0.9485440909254981,28.0,0.7813840208859946,4.0,0.9374656009968891,24.0,0.6025724690450796,0.0,1.0,63.0,0.8539932363706922
22,near_pedestrian_on_crosswalk,10.0,0.9554883574527304,22.0,0.8189311272052657,12.0,0.9248260177413801,24.0,0.639238080074305,2.0,0.96,70.0,0.8596967164947362
49,traversing_intersection,9.0,0.9632861079452585,20.0,0.8191350913092272,8.0,0.9482016622506859,19.0,0.6481691848302285,4.0,0.92,60.0,0.85975840926708
50,traversing_narrow_lane,7.0,0.9448150344585632,7.0,0.8173695691218564,5.0,0.9137624685385091,7.0,0.6355930237982054,0.0,1.0,26.0,0.8623080191834267
12,high_magnitude_jerk,3.0,0.9697608838803095,6.0,0.7948078430019562,3.0,0.952029121331106,6.0,0.6161217125210245,0.0,1.0,18.0,0.8665439121468793
16,near_barrier_on_driveable,25.0,0.9313646633543715,22.0,0.8237771579121613,25.0,0.8910388857434641,14.0,0.6910932566497523,0.0,1.0,86.0,0.8674547927319498
23,near_trafficcone_on_driveable,11.0,0.9547086693236548,24.0,0.827912779728292,12.0,0.9282768244702087,25.0,0.6474604341076183,1.0,0.98,73.0,0.8676717415259547
1,accelerating_at_traffic_light_with_lead,2.0,0.9730798904215986,23.0,0.8138229943819438,7.0,0.9589098159369663,24.0,0.624919834089873,1.0,0.98,57.0,0.8701465069660763
2,behind_bike,12.0,0.9551258745906865,20.0,0.8182519162271278,12.0,0.9402607506063428,27.0,0.6413482513815083,0.0,1.0,71.0,0.870997358561133
15,medium_magnitude_speed,11.0,0.9626559526177171,23.0,0.8213929079339158,12.0,0.9440740676216715,24.0,0.652669682481343,1.0,0.98,71.0,0.8721585221309294
19,near_long_vehicle,7.0,0.9697952339205892,22.0,0.8220768535011992,5.0,0.9601897604601018,20.0,0.653358164495896,0.0,1.0,54.0,0.8810840024755573
7,crossed_by_vehicle,4.0,0.975590577563517,4.0,0.8165909246457028,0.0,0.9742712275337345,7.0,0.660577656017545,0.0,1.0,15.0,0.8854060771520998
21,near_multiple_vehicles,6.0,0.9693438008350802,20.0,0.8423066062419635,7.0,0.956232753799779,19.0,0.6942231021730848,1.0,0.98,53.0,0.8884212526099816
8,following_lane_with_lead,0.0,0.9754833909935996,19.0,0.8355728267655204,0.0,0.9729792631311587,18.0,0.6752915467032544,0.0,1.0,37.0,0.8918654055187065
53,unknown,9.0,0.9603185977872228,18.0,0.8497193266161509,9.0,0.9412238236574274,16.0,0.7179208432054354,0.0,1.0,52.0,0.8938365182532474
17,near_construction_zone_sign,3.0,0.9760863219401006,14.0,0.850273212739419,3.0,0.9667793173827494,17.0,0.702382058189981,1.0,0.98,38.0,0.89510418205045
14,low_magnitude_speed,6.0,0.9586838885991774,13.0,0.8586623650019305,7.0,0.9473360172113808,14.0,0.7356091901303187,1.0,0.98,41.0,0.8960582921885614
46,stopping_at_traffic_light_without_lead,9.0,0.9439029731487554,12.0,0.8790858127644227,9.0,0.9157128795743542,11.0,0.7843348391823374,2.0,0.96,43.0,0.8966073009339739
13,high_magnitude_speed,3.0,0.9800311775783913,10.0,0.8649266667256399,3.0,0.9686780327615303,14.0,0.7313841320669868,2.0,0.96,32.0,0.9010040018265096
18,near_high_speed_vehicle,1.0,0.9837375584546626,9.0,0.8691294808966813,2.0,0.9742567656991606,11.0,0.7333014796258509,1.0,0.98,24.0,0.9080850569352711
9,following_lane_with_slow_lead,2.0,0.9725688081060375,7.0,0.8724218861266972,4.0,0.9623482056835866,10.0,0.7622676892118334,1.0,0.98,24.0,0.909921317825631
39,stationary_at_crosswalk,0.0,0.9856223566509374,0.0,0.8682094303026324,0.0,0.9789600440548988,0.0,0.7567831452678215,0.0,1.0,0.0,0.917914995255258
40,stationary_at_traffic_light_with_lead,11.0,0.9584407616624117,8.0,0.9198886096524777,9.0,0.9470080463934623,11.0,0.8303434424863094,1.0,0.98,40.0,0.9271361720389322
41,stationary_at_traffic_light_without_lead,12.0,0.9601881652942077,12.0,0.918974229252215,12.0,0.939275233614107,12.0,0.8235396274911342,0.0,1.0,48.0,0.9283954511303328
42,stationary_in_traffic,4.0,0.9731422734243976,5.0,0.9425848910350028,3.0,0.9686398739451408,7.0,0.8681983332815326,1.0,0.98,20.0,0.9465130743372147
47,stopping_with_lead,4.0,0.9703391522579103,2.0,0.9387342809716865,3.0,0.9663003961932369,5.0,0.888733120021368,0.0,1.0,14.0,0.9528213898888402
38,stationary,7.0,0.9716800608380141,4.0,0.9498647639309032,3.0,0.9681911995080277,5.0,0.9008361969544323,0.0,1.0,19.0,0.9581144442462755
20,near_multiple_pedestrians,0.0,0.992828755610893,0.0,0.9857728539059437,0.0,0.9935306984253949,0.0,0.9830150087096569,0.0,1.0,0.0,0.9910294633303778
