,scenario_type,below_average_count_0,mean_score_0,below_average_count_1,mean_score_1,below_average_count_2,mean_score_2,below_average_count_3,mean_score_3,below_average_count_4,mean_score_4,total_below_average_count,total_mean_score
21,near_multiple_vehicles,86.0,0.9654175425499552,204.0,0.8460345237947745,93.0,0.9473389766887576,196.0,0.6960983969917943,9.0,0.982,588.0,0.8873778880050563
8,following_lane_with_lead,14.0,0.9724193094326602,150.0,0.8324698003421118,14.0,0.9694701411578831,159.0,0.6681394258945573,1.0,0.9972972972972973,338.0,0.887959194824902
18,near_high_speed_vehicle,22.0,0.981076509419323,173.0,0.8397701102121263,28.0,0.9700826973167782,200.0,0.6730479810388446,9.0,0.982,432.0,0.8891954595974145
17,near_construction_zone_sign,27.0,0.9763764902136285,152.0,0.8412169379372701,37.0,0.9652440260986419,180.0,0.6831034841003564,9.0,0.982,405.0,0.8895881876699795
46,stopping_at_traffic_light_without_lead,89.0,0.9445739296400816,105.0,0.8768634130627646,85.0,0.9139788816307464,115.0,0.769024828111314,14.0,0.9616438356164384,408.0,0.8932169776122689
14,low_magnitude_speed,90.0,0.9599462015001091,137.0,0.8599840822046102,94.0,0.9428707607153065,144.0,0.7374756814594327,6.0,0.988,471.0,0.8976553451758917
9,following_lane_with_slow_lead,35.0,0.9735710035220165,104.0,0.8666879379545017,38.0,0.964159249909384,123.0,0.7381165298731893,4.0,0.992,304.0,0.9069069442518183
39,stationary_at_crosswalk,0.0,0.9856223449766531,0.0,0.8682095027079053,0.0,0.9789600122795986,0.0,0.7567832468881368,0.0,1.0,0.0,0.9179150213704588
41,stationary_at_traffic_light_without_lead,112.0,0.9595468891381707,103.0,0.921539697039621,96.0,0.9414749252772161,129.0,0.82946025525115,7.0,0.986,447.0,0.9276043533412315
38,stationary,90.0,0.9634207073273744,84.0,0.9206948130114017,75.0,0.9525547190842427,98.0,0.8465692392417253,10.0,0.98,357.0,0.9326478957329488
40,stationary_at_traffic_light_with_lead,106.0,0.9598343048404253,67.0,0.9350318871929594,75.0,0.95015227809256,93.0,0.8606879226261454,5.0,0.9900199600798403,346.0,0.9391452705663861
42,stationary_in_traffic,29.0,0.9751804905454495,37.0,0.941769619877196,14.0,0.9734322021389523,62.0,0.8704051819687144,1.0,0.998,143.0,0.9517574989060625
47,stopping_with_lead,20.0,0.9740944810175355,19.0,0.946313496475137,4.0,0.9718994297981197,34.0,0.9068893539229357,2.0,0.996,79.0,0.9590393522427455
20,near_multiple_pedestrians,0.0,0.9902731249109513,36.0,0.9536983965838991,0.0,0.989353414962418,41.0,0.8992700274378678,0.0,1.0,77.0,0.9665189927790273
